Var 1	Var 2	Var 3	Var 4	Var 5	Var 6	Var 7	Var 8	Var 9	Var 10	Var 11	Var 12	Var 13	Var 14	Var 15	Var 16	Var 17	Var 18	Var 19	Var 20	Var 21	Var 22	Var 23	Var 24	Var 25	Var 26	Var 27	Var 28	Var 29	Var 30	Var 31	Var 32	Var 33	Var 34	Var 35	Var 36	Var 37	Var 38	Var 39	Var 40	Var 41	Var 42	Var 43	Var 44	Var 45	Var 46	Var 47	Var 48	Var 49	Var 50	Var 51	Var 52	Var 53	Var 54	Var 55	Var 56	Var 57	Var 58	Var 59	Var 60
0.1364306785	0.1564509216	0.1356767411	0.0354255825	0.2249556176	0.2375705456	0.4074675325	0.3409040794	0.4492818007	0.2857142857	0.1871544024	0.1972450176	0.2956671945	0.0383623801	0.0630955963	0.2148381844	0.2850481815	0.2726233766	0.4822217547	0.443172089	0.5555438449	0.4960637972	0.3989615344	0.5441040877	0.6630122951	0.6051327239	0.695766362	0.8023878139	0.674411526	0.3455843187	0.0899182561	0.2471354752	0.4876614512	0.7774244833	0.8503630971	0.8494959677	0.6933085502	0.5941561818	0.4819734345	0.2861655773	0.0173711639	0.3391941392	0.3653174706	0.5483122906	0.3754620415	0.190071311	0.1903295907	0.4022162324	0.1933366986	0.3927272727	0.2310756972	0.0271041369	0.1558441558	0.4356725146	0.1496598639	0.4179487179	0.5028409091	0.1853546911	0.2451790634	0.0600461894
0.3230088496	0.2216030862	0.2720105125	0.1500237756	0.2830332234	0.6667562483	0.5744047619	0.7554575524	0.4830445728	0.3945373945	0.6563164611	0.9255568581	0.9694832302	0.7759100753	0.7456113953	0.9446366782	1	0.883012987	0.7921312855	0.7664811644	0.4953625632	0.3918822206	0.3596481933	0.3764983096	0.3084016393	0.2510188347	0.2930980145	0.2555578427	0.4341517857	0.1507403856	0.3603269755	0.2856661424	0.1582484511	0.2256491786	0.1107701749	0.4135080645	0.3809315548	0.0700842259	0.1548597934	0.2018518519	0.1521713955	0.0643467643	0.1811716022	0.2097397578	0.0882854706	0.0278387274	0.0959797175	0.2222222222	0.2064613831	0.0739393939	0.124501992	0.1084165478	0.2181818182	0.1111111111	0.1995464853	0.4794871795	0.3892045455	0.1052631579	0.1404958678	0.0877598152
0.1821533923	0.2468924132	0.3561103811	0.2436994769	0.2300278975	0.5853265251	0.6488095238	0.8194046307	0.8178587295	0.8695838696	0.8569403091	1	0.7715560674	0.5204702485	0.6468050958	0.6888866273	0.6641798777	0.7455584416	0.8873343152	0.8522046233	0.7864671164	0.6663940292	0.3952527286	0.3492470034	0.5216188525	0.1643352792	0.4820884547	0.8490119391	0.5978084416	0.8416959625	0.8752043597	0.5213435183	0.1454373622	0.2646528882	0.4100439808	0.2986895161	0.630330199	0.6626806696	0.5275142315	0.5013071895	0.4964678633	0.309035409	0.2753135911	0.2862664262	0.3001137333	0.0241360395	0.2441144513	0.222821204	0.0656234225	0.1284848485	0.0328685259	0.3195435093	0.4181818182	0.2485380117	0.3945578231	0.6153846154	0.8892045455	0.3684210526	0.258953168	0.1662817552
0.0626843658	0.0707243892	0.1997371879	0.0349500713	0.0349987319	0.0714861596	0.2881493506	0.2692392503	0.0774470606	0.1645931646	0.0839359138	0.2573270809	0	0.2050118593	0.1703280169	0.2003867291	0.0356439747	0.198025974	0.3751314959	0.3549871575	0.2349283305	0.35487169	0.5290876338	0.4719803299	0.2971311475	0.4860667474	0.5016283223	0.2301358584	0.1974431818	0.313838287	0.6297547684	0.7791507526	0.5925653681	0.3481717011	0.3815076199	0.2955645161	0.552919309	0.8766767183	1	0.98583878	0.6671685003	0.6043956044	0.4151040993	0.4125225457	0.6106056298	0.5010970927	0.4808040565	0.4719976041	0.3437657749	0.3563636364	0.2400398406	0.1611982882	0.0805194805	0.4093567251	0.179138322	0.1769230769	0.1335227273	0.0938215103	0.1074380165	0.2563510393
0.5508849558	0.2828975568	0.153088042	0.0798858773	0.1326401217	0.1470034937	0.3181818182	0.5318632856	0.5166592625	0.6214786215	0.5477101942	0.5445486518	0.586152296	0.3982675054	0.4510984051	0.5255444738	0.7208579422	0.6044675325	0.1617925521	0.4259417808	0.3832209106	0.416419589	0.5475256967	0.5286343612	0.2992827869	0.1502368102	0.6843155794	1	0.7221996753	0.4379460957	0.5036512262	0.5678499214	0.2524414575	0.0815050344	0.1767413317	0.4134072581	0.4650120271	0.2946864927	0.2590132827	0.2519607843	0.187492762	0.2915750916	0.238846502	0.1083483638	0.0983793005	0.0724081185	0.064650489	0.0254567236	0.1161029783	0.0557575758	0.1553784861	0.032810271	0.1272727273	0.2777777778	0.2358276644	0.0282051282	0.1960227273	0.1029748284	0.2920110193	0.2032332564
0.1998525074	0.1915987998	0.0860709593	0.0275796481	0.0803956378	0.2386455254	0.316017316	0.392061742	0.3006071376	0.4184184184	0.3826740394	0.5882180539	0.8865697423	0.8172630711	1	1	0.9490208269	0.8987012987	0.7090258784	0.4779537671	0.1646290051	0.3850322053	0.5644802374	0.2697469522	0.1847336066	0.5354113889	0.5156003782	0.3567311651	0.3314732143	0.4744859913	0.555640327	0.4913502584	0.2963351885	0.2104928458	0.1211005421	0.2798387097	0.3778701072	0.3925340543	0.3882563778	0.3462962963	0.2718008107	0.3167277167	0.0934954093	0.1594949755	0.1694626102	0.1493417444	0.1128214415	0.1479484876	0.1332660273	0.0981818182	0.1035856574	0.0527817404	0.0233766234	0.081871345	0.0158730159	0.2179487179	0.1534090909	0.0549199085	0.1377410468	0.129330254
0.2227138643	0.4072010287	0.4290407359	0.3209700428	0.4075576972	0.4321418973	0.1888528139	0.2968026461	0.2973493262	0.4862004862	0.2122501063	0.0618405627	0.047358572	0.3587707538	0.540475474	0.5371463464	0.497461403	0.4038441558	0.1609509783	0.3828125	0.7600126476	0.9729066558	0.9353608138	0.5450261244	0.5151639344	0.6504020267	0.549637567	0.5295389049	0.2062702922	0.1636305529	0.5808174387	0.6649067625	0.2612622073	0.1760466349	0.2808632505	0.5123991935	0.6343756834	0.4055318706	0.5384777567	0.6553376906	0.5393167342	0.2833943834	0.2530712531	0.2253285236	0.1853852715	0.0818705431	0.2035494386	0.3135669362	0.2559313478	0.1927272727	0.1942231076	0.27532097	0.6311688312	0.3538011696	0.1451247166	0.3435897436	0.2528409091	0.3203661327	0.0964187328	0.2240184758
0.3716814159	0.2323189027	0.2716819974	0.0620542083	0.2766928734	0.220370868	0.2689393939	0.1230429989	0.205834444	0.3896753897	0.3563022827	0.4176436108	0.355980999	0.3638238631	0.5612398435	0.4288622023	0.2350015542	0.0856103896	0.6503261098	0.9360017123	0.7715008432	0.524792966	0.6618628802	0.9153775228	0.7554303279	0.8039431655	0.8815001576	0.5976739399	0.286424513	0.0521998509	0.0911171662	0.0247135475	0.0538695789	0.4021197668	0.3521530122	0.0977822581	0.1710037175	0.3688260372	0.4129243095	0.2645969499	0.0916039375	0.2612942613	0.2429846114	0.1851326978	0.305089565	0.3236423478	0.2037305324	0.0760706798	0.143866734	0.2157575758	0.0517928287	0.1041369472	0.2987012987	0.1023391813	0.2607709751	0.2384615385	0.2329545455	0.1006864989	0.129476584	0.1085450346
0.1533923304	0.1581654522	0.1540735874	0.0991440799	0.1470961197	0.1314162859	0.1948051948	0.0094818082	0.0901821413	0.1964821965	0.1229264143	0.2077960141	0.5252627033	0.3428895535	0.1687230414	0.099124771	0	0.3554285714	0.7265937303	0.9919734589	0.9791315346	0.8865146713	0.6515841899	0.4146091589	0.3211065574	0.7098799427	0.9591343629	0.727562783	0.4780844156	0.104506232	0.2752043597	0.4147382611	0.2827890371	0.3278219396	0.3257645495	0.2122983871	0.230920621	0.24363107	0.1379928315	0.2913943355	0.2545454545	0.2056166056	0.2742790638	0.1415872198	0.14003412	0.1743006034	0.2642158638	0.3486073675	0.3922261484	0.5321212121	0.0607569721	0.1954350927	0.3194805195	0.3947368421	0.1179138322	0.1153846154	0.1761363636	0.2059496568	0.1597796143	0.0369515012
0.1098820059	0.0715816545	0.1090670171	0.002853067	0.0304336799	0.1529158828	0.2767857143	0.1415656009	0.1313490301	0.0197340197	0.0725932227	0.1201641266	0.1557506837	0.0636279262	0.016751931	0.0988194586	0.2566573412	0.297038961	0.2886597938	0.3935145548	0.5855817875	0.7599427461	0.9155451944	0.971211966	0.91875	0.7295957705	0.8202542284	0.8875051462	0.7269683442	0.6693299244	0.5827792916	0.5089867446	0.2755434212	0.0099629041	0.0021478981	0.1036290323	0.1359064072	0.1027347406	0.0342610162	0.0364923747	0.0301100174	0.1666666667	0.2065175223	0.1783045607	0.0528859824	0.0943499726	0.1570083303	0.153638814	0.0464411913	0.24	0.1175298805	0.1169757489	0.5662337662	0.4941520468	0.1768707483	0.1641025641	0.0823863636	0.0732265446	0.1515151515	0.07852194
